L,Teff,R,mass,logg,isWR,mass_current,phase,m_hst_f127m,m_hst_f139m,m_hst_f153m
2.0140801965848773e+32,18308.657981780063,50155069870.77223,39.92108899024632,2.277112525820635,False,34.87497334546387,2.0,2.543255652339778,2.5769475017864454,2.5844775277945415
2.0148890905970414e+32,18154.567842026347,51020325613.95971,39.921625320475094,2.2626905876336405,False,34.87484048506748,2.0,2.519537767340477,2.5530241109658243,2.560267770835601
2.0156645479567335e+32,18001.740174367125,51900272048.6847,39.92209869174973,2.2482724625238513,False,34.87470553457046,2.0,2.4958857712751565,2.529163218950028,2.536115921551559
2.016550735328761e+32,17850.138440862363,52797198992.9566,39.92262871714548,2.23382467347539,False,34.87459114597249,2.0,2.470913201499372,2.503931625950575,2.51059237899354
2.0173919949848352e+32,17699.78225328519,53709212316.006775,39.92305283758553,2.219382919710737,False,34.87446303733817,2.0,2.445979358684941,2.478734548675403,2.485099411782664
2.0181989071983517e+32,17550.621689660828,54636951199.21796,39.92356240320734,2.2049424209718023,False,34.87436187045687,2.0,2.4210874391603747,2.4535755805904995,2.459640422146496
2.018959031043749e+32,17402.69584494747,55580209207.272705,39.9239519923342,2.1905087641927996,False,34.87424294174202,2.0,2.396252609730195,2.4284699036845945,2.4342306157082376
2.0196878776549016e+32,17255.889356777123,56540145049.01053,39.92444663452597,2.1760715146927554,False,34.87415546019044,2.0,2.3714494525283505,2.403391828873433,2.4088440057285423
2.0204132501442956e+32,17110.33982646542,57516482405.78505,39.924827492859386,2.1615906701260306,False,34.87404842133688,2.0,2.3466879683425175,2.378351555581047,2.3834910216039344
2.0211437938586213e+32,16965.970905849346,58510074913.49605,39.92525059229587,2.1466676506190248,False,34.873957850970534,2.0,2.321735277610921,2.3531258798790855,2.3579637240546103
2.0214515269047527e+32,16822.75950987928,59515032710.04243,39.92567310978657,2.1317376041164744,False,34.87387398862635,2.0,2.296326057358416,2.3274720267507556,2.3320545688830436
2.021379031492423e+32,16680.789594100293,60531321199.348564,39.92603601165248,2.1168052985111583,False,34.87378185335284,2.0,2.2711522788143528,2.3020505625245384,2.306374736388583
2.0214246173509786e+32,16539.940138489528,61567340240.52819,39.92642437577337,2.1018516545115635,False,34.87370111976253,2.0,2.245926839996984,2.2765741387110108,2.2806366254915504
2.0215312163413074e+32,16400.311863312254,62621792780.69327,39.926807928059134,2.086901375430659,False,34.87362498652808,2.0,2.2207004702354314,2.2510936278531575,2.2548912627337
2.02171131261278e+32,16261.800008188284,63695950539.51446,39.92719099347154,2.071927462065312,False,34.87355383874838,2.0,2.19544967482672,2.2255853081924886,2.229114694528047
2.0219039536346873e+32,16124.499947581631,64788396913.50048,39.927542163217765,2.056951571515254,False,34.873478553746295,2.0,2.170226628636233,2.200101495262226,2.2033593878508904
2.0221713619641536e+32,15988.343911515536,65900923217.67101,39.92791558274893,2.0419767372965154,False,34.87341240018791,2.0,2.144933775415435,2.1745484258285317,2.177535290998989
2.0224572261849814e+32,15853.32364916668,67032976584.28761,39.92828455811722,2.0269982919082525,False,34.873348920862696,2.0,2.119077572945077,2.1484710909999403,2.1512251402747653
2.0227904596422786e+32,15719.422965240155,68185453389.135025,39.92863852515771,2.012018839149993,False,34.87328807261903,2.0,2.0932117969815383,2.1223815156789962,2.12490004022523
