wavelength,spectrum,spectrum_dusty
395.0,7.912780880134079e-06,3.6470171107097516e-26
405.0,7.374991874875482e-06,1.891094735969328e-24
414.0,6.788826660604648e-06,4.483075549500462e-23
422.0,6.540000854912137e-06,5.978253550683473e-22
430.0,6.191316191570161e-06,6.291119975006532e-21
441.0,5.752983194004101e-06,1.1650182699298045e-19
451.0,5.406368779629884e-06,1.2509646587092098e-18
460.0,5.1399512010787125e-06,8.680484006622474e-18
470.0,4.809247985958847e-06,6.038898467502403e-17
480.0,4.467862988001586e-06,3.449689168053317e-16
490.0,4.242381225133657e-06,1.700777921681601e-15
500.0,3.9505587259466694e-06,7.071862327411736e-15
506.0,3.795605715515464e-06,1.561476718221508e-14
512.0,3.6801183654013756e-06,3.3248859948568636e-14
520.0,3.524992207842724e-06,8.513304225851419e-14
530.0,3.3000323797773543e-06,2.4727317638626815e-13
540.0,3.087532633698295e-06,6.511218315879623e-13
550.0,2.9085527802114984e-06,1.5812511810547596e-12
560.0,2.7685882864454116e-06,3.58483626244494e-12
570.0,2.6304977131918247e-06,7.552084906793556e-12
580.0,2.5059034887263112e-06,1.495188223850775e-11
590.0,2.3411734684701817e-06,2.737708282627946e-11
600.0,2.2203989392284643e-06,4.82481598941944e-11
610.0,2.1148331857328657e-06,8.135870613143624e-11
620.0,1.9961796616919313e-06,1.3010016118561062e-10
630.0,1.8838421361786948e-06,1.9982171675730737e-10
640.0,1.8036375105651631e-06,3.0016778556325015e-10
650.0,1.7163118526825133e-06,4.334110364475538e-10
658.0,1.6529012598251502e-06,5.699017829914074e-10
665.0,1.5998428469875925e-06,7.136031614253101e-10
675.0,1.5287301107608554e-06,9.630550021196127e-10
685.0,1.456545928490196e-06,1.2644597075973424e-09
695.0,1.403934804112574e-06,1.6420372766442628e-09
705.0,1.3518349700954237e-06,2.0864303664813726e-09
716.0,1.3067699101261442e-06,2.676821473657905e-09
726.0,1.2606185587393603e-06,3.2794147145557093e-09
735.0,1.230484069662313e-06,3.914891997717113e-09
745.0,1.2032994668197305e-06,4.7207939693902445e-09
755.0,1.177052293687255e-06,5.616204800818895e-09
765.0,1.1199899047585355e-06,6.416975452298081e-09
775.0,1.1452609180176458e-06,7.786982059880824e-09
785.0,1.138079753901063e-06,9.083355537351738e-09
795.0,1.1397115421081397e-06,1.0570295273437271e-08
805.0,1.1520197550469867e-06,1.229987643002519e-08
815.0,1.1709015922425175e-06,1.4267050348422757e-08
825.0,1.2030900368065952e-06,1.6595091848966472e-08
835.0,1.2131123460901645e-06,1.880155693697948e-08
845.0,1.2654409181675276e-06,2.188358626975536e-08
855.0,1.3118612913148375e-06,2.5149652542853452e-08
865.0,1.3776296280450808e-06,2.910196032288894e-08
875.0,1.4437512003663975e-06,3.3418403839999584e-08
885.0,1.5347840693151422e-06,3.872291016692304e-08
895.0,1.6263927252810404e-06,4.450928646098239e-08
905.0,1.7145254769077563e-06,5.066320377914382e-08
915.0,4.404814843459797e-06,1.3994267301801846e-07
925.0,1.5673894060040195e-05,5.332675401945159e-07
935.0,3.410286855725215e-05,1.2379114102233536e-06
945.0,0.00019685282008844314,7.597312007221185e-06
955.0,0.0009369424169866954,3.832103279200914e-05
965.0,0.0013994507354200061,6.047339685344689e-05
975.0,0.00026833997437888084,1.2216162563828013e-05
985.0,0.0029893598227000427,0.0001429909122491688
